mode,bytes,effective_bytes,block,grid,warmup,iters,ms_per_iter,GBps,active_frac,gather_span_bytes,device,sm,cc_major,cc_minor
seq,1048576,1048576,256,1056,10,200,0.002906,360.841,1.000,0,NVIDIA H200,132,9,0
seq,2097152,2097152,256,1056,10,200,0.002935,714.639,1.000,0,NVIDIA H200,132,9,0
seq,4194304,4194304,256,1056,10,200,0.002977,1408.695,1.000,0,NVIDIA H200,132,9,0
seq,8388608,8388608,256,1056,10,200,0.003498,2398.280,1.000,0,NVIDIA H200,132,9,0
seq,16777216,16777216,256,1056,10,200,0.004427,3789.714,1.000,0,NVIDIA H200,132,9,0
seq,33554432,33554432,256,1056,10,200,0.006259,5360.681,1.000,0,NVIDIA H200,132,9,0
seq,67108864,67108864,256,1056,10,200,0.019067,3519.627,1.000,0,NVIDIA H200,132,9,0
seq,134217728,134217728,256,1056,10,200,0.034683,3869.820,1.000,0,NVIDIA H200,132,9,0
seq,268435456,268435456,256,1056,10,200,0.065164,4119.413,1.000,0,NVIDIA H200,132,9,0
seq,536870912,536870912,256,1056,10,200,0.125059,4292.940,1.000,0,NVIDIA H200,132,9,0
seq,1073741824,1073741824,256,1056,10,200,0.245487,4373.933,1.000,0,NVIDIA H200,132,9,0
seq,2147483648,2147483648,256,1056,10,200,0.484030,4436.675,1.000,0,NVIDIA H200,132,9,0
seq,4294967296,4294967296,256,1056,10,200,0.962340,4463.043,1.000,0,NVIDIA H200,132,9,0
seq,8589934592,8589934592,256,1056,10,200,1.916281,4482.606,1.000,0,NVIDIA H200,132,9,0
