report,kernel,duration_us,memory_throughput_TBps,dram_throughput_pct,l2_throughput_pct,compute_sm_pct,sm_busy_pct,issue_slots_busy_pct,eligible_warps_per_scheduler,issued_warp_per_scheduler,active_warps_per_scheduler,warp_cycles_per_issued_inst,achieved_occupancy_pct,registers_per_thread,local_spill_requests,executed_instructions,cpi_stall_note
byte_ilp4_k1,"void scan_planes_u8_byte_ilp4<1>(PlanePointers<unsigned char, 8>, unsigned long, unsigned long long *)",81.504,1.265,26.28,36.71,58.71,61.81,59.62,2.22,0.60,12.77,21.11,79.31,32,0,36716280,"On average, each warp of this workload spends 12.2 cycles being stalled waiting for a scoreboard dependency on a L1TEX (local, global, surface, texture) operation. Find the instruction producing the data being waited upon to identify the culprit. To reduce the number of cycles waiting on L1TEX data accesses verify the memory access patterns are optimal for the target architecture, attempt to increase cache hit rates by increasing data locality (coalescing), or by changing the cache configuration. Consider moving frequently used data to shared memory. This stall type represents about 57.6% of the total average of 21.1 cycles between issuing two instructions."
byte_ilp4_k4,"void scan_planes_u8_byte_ilp4<4>(PlanePointers<unsigned char, 8>, unsigned long, unsigned long long *)",186.080,2.166,45.02,63.23,56.73,58.43,50.76,1.08,0.51,11.44,22.30,72.13,34,0,70925488,"On average, each warp of this workload spends 17.4 cycles being stalled waiting for a scoreboard dependency on a L1TEX (local, global, surface, texture) operation. Find the instruction producing the data being waited upon to identify the culprit. To reduce the number of cycles waiting on L1TEX data accesses verify the memory access patterns are optimal for the target architecture, attempt to increase cache hit rates by increasing data locality (coalescing), or by changing the cache configuration. Consider moving frequently used data to shared memory. This stall type represents about 78.0% of the total average of 22.3 cycles between issuing two instructions."
byte_ilp4_k8,"void scan_planes_u8_byte_ilp4<8>(PlanePointers<unsigned char, 8>, unsigned long, unsigned long long *)",356.832,2.250,46.75,66.18,49.74,50.81,44.56,0.78,0.44,11.68,26.27,73.21,40,0,120982512,"On average, each warp of this workload spends 21.9 cycles being stalled waiting for a scoreboard dependency on a L1TEX (local, global, surface, texture) operation. Find the instruction producing the data being waited upon to identify the culprit. To reduce the number of cycles waiting on L1TEX data accesses verify the memory access patterns are optimal for the target architecture, attempt to increase cache hit rates by increasing data locality (coalescing), or by changing the cache configuration. Consider moving frequently used data to shared memory. This stall type represents about 83.3% of the total average of 26.3 cycles between issuing two instructions."
rowpack4_k1,"void scan_planes_u8_rowpack4<1>(PlanePointers<unsigned char, 8>, unsigned long, unsigned long long *)",48.192,2.131,44.32,52.95,53.75,58.81,39.73,0.86,0.40,15.15,37.87,94.30,20,0,13851490,"On average, each warp of this workload spends 31.3 cycles being stalled waiting for a scoreboard dependency on a L1TEX (local, global, surface, texture) operation. Find the instruction producing the data being waited upon to identify the culprit. To reduce the number of cycles waiting on L1TEX data accesses verify the memory access patterns are optimal for the target architecture, attempt to increase cache hit rates by increasing data locality (coalescing), or by changing the cache configuration. Consider moving frequently used data to shared memory. This stall type represents about 82.7% of the total average of 37.9 cycles between issuing two instructions."
rowpack4_k4,"void scan_planes_u8_rowpack4<4>(PlanePointers<unsigned char, 8>, unsigned long, unsigned long long *)",115.712,3.485,72.44,80.63,76.76,80.94,47.53,1.96,0.47,13.01,27.46,81.54,28,0,40464678,"On average, each warp of this workload spends 17.7 cycles being stalled waiting for a scoreboard dependency on a L1TEX (local, global, surface, texture) operation. Find the instruction producing the data being waited upon to identify the culprit. To reduce the number of cycles waiting on L1TEX data accesses verify the memory access patterns are optimal for the target architecture, attempt to increase cache hit rates by increasing data locality (coalescing), or by changing the cache configuration. Consider moving frequently used data to shared memory. This stall type represents about 64.3% of the total average of 27.5 cycles between issuing two instructions."
rowpack4_k8,"void scan_planes_u8_rowpack4<8>(PlanePointers<unsigned char, 8>, unsigned long, unsigned long long *)",206.592,3.887,80.80,89.06,82.59,85.37,48.67,2.39,0.49,12.25,25.08,75.87,32,0,74907262,"On average, each warp of this workload spends 14.5 cycles being stalled waiting for a scoreboard dependency on a L1TEX (local, global, surface, texture) operation. Find the instruction producing the data being waited upon to identify the culprit. To reduce the number of cycles waiting on L1TEX data accesses verify the memory access patterns are optimal for the target architecture, attempt to increase cache hit rates by increasing data locality (coalescing), or by changing the cache configuration. Consider moving frequently used data to shared memory. This stall type represents about 57.9% of the total average of 25.1 cycles between issuing two instructions."
rowpack16_k1,"void scan_planes_u8_rowpack16<1>(PlanePointers<unsigned char, 8>, unsigned long, unsigned long long *)",29.568,3.491,72.65,73.90,64.73,73.51,42.14,1.27,0.41,13.70,33.12,88.90,28,0,8382761,"On average, each warp of this workload spends 24.5 cycles being stalled waiting for a scoreboard dependency on a L1TEX (local, global, surface, texture) operation. Find the instruction producing the data being waited upon to identify the culprit. To reduce the number of cycles waiting on L1TEX data accesses verify the memory access patterns are optimal for the target architecture, attempt to increase cache hit rates by increasing data locality (coalescing), or by changing the cache configuration. Consider moving frequently used data to shared memory. This stall type represents about 74.1% of the total average of 33.1 cycles between issuing two instructions."
rowpack16_k4,"void scan_planes_u8_rowpack16<4>(PlanePointers<unsigned char, 8>, unsigned long, unsigned long long *)",94.848,4.247,88.29,90.81,73.42,77.17,41.28,1.54,0.42,14.74,35.17,91.57,32,0,29331940,"On average, each warp of this workload spends 27.6 cycles being stalled waiting for a scoreboard dependency on a L1TEX (local, global, surface, texture) operation. Find the instruction producing the data being waited upon to identify the culprit. To reduce the number of cycles waiting on L1TEX data accesses verify the memory access patterns are optimal for the target architecture, attempt to increase cache hit rates by increasing data locality (coalescing), or by changing the cache configuration. Consider moving frequently used data to shared memory. This stall type represents about 78.4% of the total average of 35.2 cycles between issuing two instructions."
rowpack16_k8,"void scan_planes_u8_rowpack16<8>(PlanePointers<unsigned char, 8>, unsigned long, unsigned long long *)",185.984,4.317,89.71,91.88,75.67,79.10,41.56,1.31,0.41,15.05,36.47,93.61,32,0,56726448,"On average, each warp of this workload spends 28.6 cycles being stalled waiting for a scoreboard dependency on a L1TEX (local, global, surface, texture) operation. Find the instruction producing the data being waited upon to identify the culprit. To reduce the number of cycles waiting on L1TEX data accesses verify the memory access patterns are optimal for the target architecture, attempt to increase cache hit rates by increasing data locality (coalescing), or by changing the cache configuration. Consider moving frequently used data to shared memory. This stall type represents about 78.3% of the total average of 36.5 cycles between issuing two instructions."
contiguous64,"<unnamed>::scan_contiguous_u64(const unsigned long *, unsigned long, unsigned long long *)",208.992,3.842,79.85,89.52,22.82,23.69,19.95,0.23,0.20,15.47,76.85,96.99,16,0,31744208,"On average, each warp of this workload spends 70.7 cycles being stalled waiting for a scoreboard dependency on a L1TEX (local, global, surface, texture) operation. Find the instruction producing the data being waited upon to identify the culprit. To reduce the number of cycles waiting on L1TEX data accesses verify the memory access patterns are optimal for the target architecture, attempt to increase cache hit rates by increasing data locality (coalescing), or by changing the cache configuration. Consider moving frequently used data to shared memory. This stall type represents about 92.0% of the total average of 76.9 cycles between issuing two instructions."
